grid,nr,cvs,kappas
1,0,1.00000000*17.00000000,8.00000000e+01*8.00000000e+01
1,1,1.00000000*18.00000000,8.00000000e+01*8.00000000e+01
1,2,1.00000000*19.00000000,8.00000000e+01*8.00000000e+01
1,3,2.00000000*17.00000000,8.00000000e+01*8.00000000e+01
1,4,2.00000000*19.00000000,8.00000000e+01*8.00000000e+01
1,5,3.00000000*11.00000000,8.00000000e+01*8.00000000e+01
1,6,3.00000000*12.00000000,8.00000000e+01*8.00000000e+01
1,7,3.00000000*13.00000000,8.00000000e+01*8.00000000e+01
1,8,3.00000000*14.00000000,8.00000000e+01*8.00000000e+01
1,9,3.00000000*15.00000000,8.00000000e+01*8.00000000e+01
1,10,3.00000000*16.00000000,8.00000000e+01*8.00000000e+01
1,11,3.00000000*17.00000000,8.00000000e+01*8.00000000e+01
1,12,3.00000000*18.00000000,8.00000000e+01*8.00000000e+01
1,13,3.00000000*19.00000000,8.00000000e+01*8.00000000e+01
1,14,3.00000000*20.00000000,8.00000000e+01*8.00000000e+01
1,15,3.00000000*21.00000000,8.00000000e+01*8.00000000e+01
1,16,3.00000000*22.00000000,8.00000000e+01*8.00000000e+01
1,17,3.00000000*23.00000000,8.00000000e+01*8.00000000e+01
1,18,4.00000000*11.00000000,8.00000000e+01*8.00000000e+01
1,19,4.00000000*13.00000000,8.00000000e+01*8.00000000e+01
1,20,4.00000000*17.00000000,8.00000000e+01*8.00000000e+01
1,21,4.00000000*19.00000000,8.00000000e+01*8.00000000e+01
1,22,4.00000000*21.00000000,8.00000000e+01*8.00000000e+01
1,23,4.00000000*23.00000000,8.00000000e+01*8.00000000e+01
1,24,5.00000000*5.00000000,8.00000000e+01*8.00000000e+01
1,25,5.00000000*6.00000000,8.00000000e+01*8.00000000e+01
1,26,5.00000000*7.00000000,8.00000000e+01*8.00000000e+01
1,27,5.00000000*9.00000000,8.00000000e+01*8.00000000e+01
1,28,5.00000000*10.00000000,8.00000000e+01*8.00000000e+01
1,29,5.00000000*11.00000000,8.00000000e+01*8.00000000e+01
1,30,5.00000000*12.00000000,8.00000000e+01*8.00000000e+01
1,31,5.00000000*13.00000000,4.00000000e+01*4.00000000e+01
1,32,5.00000000*17.00000000,2.00000000e+01*2.00000000e+01
1,33,5.00000000*18.00000000,4.00000000e+01*4.00000000e+01
1,34,5.00000000*19.00000000,4.00000000e+01*4.00000000e+01
1,35,5.00000000*20.00000000,8.00000000e+01*8.00000000e+01
1,36,5.00000000*21.00000000,8.00000000e+01*8.00000000e+01
1,37,5.00000000*22.00000000,8.00000000e+01*8.00000000e+01
1,38,5.00000000*23.00000000,8.00000000e+01*8.00000000e+01
1,39,5.00000000*24.00000000,8.00000000e+01*8.00000000e+01
1,40,5.00000000*25.00000000,8.00000000e+01*8.00000000e+01
1,41,6.00000000*5.00000000,8.00000000e+01*8.00000000e+01
1,42,6.00000000*7.00000000,8.00000000e+01*8.00000000e+01
1,43,6.00000000*9.00000000,8.00000000e+01*8.00000000e+01
1,44,6.00000000*11.00000000,8.00000000e+01*8.00000000e+01
1,45,6.00000000*13.00000000,8.00000000e+01*8.00000000e+01
1,46,6.00000000*17.00000000,1.00000000e+01*1.00000000e+01
1,47,6.00000000*19.00000000,4.00000000e+01*4.00000000e+01
1,48,6.00000000*21.00000000,8.00000000e+01*8.00000000e+01
1,49,6.00000000*23.00000000,8.00000000e+01*8.00000000e+01
1,50,7.00000000*5.00000000,8.00000000e+01*8.00000000e+01
1,51,7.00000000*6.00000000,8.00000000e+01*8.00000000e+01
1,52,7.00000000*7.00000000,8.00000000e+01*8.00000000e+01
1,53,7.00000000*8.00000000,8.00000000e+01*8.00000000e+01
1,54,7.00000000*9.00000000,8.00000000e+01*8.00000000e+01
1,55,7.00000000*10.00000000,8.00000000e+01*8.00000000e+01
1,56,7.00000000*11.00000000,8.00000000e+01*8.00000000e+01
1,57,7.00000000*12.00000000,8.00000000e+01*8.00000000e+01
1,58,7.00000000*13.00000000,4.00000000e+01*4.00000000e+01
1,59,7.00000000*15.00000000,1.00000000e+01*1.00000000e+01
1,60,7.00000000*16.00000000,1.00000000e+01*1.00000000e+01
1,61,7.00000000*17.00000000,1.00000000e+01*1.00000000e+01
1,62,7.00000000*19.00000000,2.00000000e+01*2.00000000e+01
1,63,7.00000000*21.00000000,4.00000000e+01*4.00000000e+01
1,64,7.00000000*22.00000000,4.00000000e+01*4.00000000e+01
1,65,7.00000000*23.00000000,8.00000000e+01*8.00000000e+01
1,66,7.00000000*24.00000000,8.00000000e+01*8.00000000e+01
1,67,7.00000000*25.00000000,8.00000000e+01*8.00000000e+01
1,68,8.00000000*7.00000000,8.00000000e+01*8.00000000e+01
1,69,8.00000000*9.00000000,8.00000000e+01*8.00000000e+01
1,70,8.00000000*11.00000000,8.00000000e+01*8.00000000e+01
1,71,8.00000000*13.00000000,4.00000000e+01*4.00000000e+01
1,72,8.00000000*19.00000000,4.00000000e+01*4.00000000e+01
1,73,8.00000000*21.00000000,4.00000000e+01*4.00000000e+01
1,74,8.00000000*23.00000000,8.00000000e+01*8.00000000e+01
1,75,9.00000000*5.00000000,8.00000000e+01*8.00000000e+01
1,76,9.00000000*6.00000000,8.00000000e+01*8.00000000e+01
1,77,9.00000000*7.00000000,8.00000000e+01*8.00000000e+01
1,78,9.00000000*8.00000000,8.00000000e+01*8.00000000e+01
1,79,9.00000000*9.00000000,8.00000000e+01*8.00000000e+01
1,80,9.00000000*10.00000000,8.00000000e+01*8.00000000e+01
1,81,9.00000000*11.00000000,4.00000000e+01*4.00000000e+01
1,82,9.00000000*12.00000000,4.00000000e+01*4.00000000e+01
1,83,9.00000000*13.00000000,8.00000000e+01*8.00000000e+01
1,84,9.00000000*14.00000000,8.00000000e+01*8.00000000e+01
1,85,9.00000000*15.00000000,2.00000000e+01*2.00000000e+01
1,86,9.00000000*17.00000000,2.00000000e+01*2.00000000e+01
1,87,9.00000000*18.00000000,2.00000000e+01*2.00000000e+01
1,88,9.00000000*19.00000000,2.00000000e+01*2.00000000e+01
1,89,9.00000000*20.00000000,4.00000000e+01*4.00000000e+01
1,90,9.00000000*21.00000000,4.00000000e+01*4.00000000e+01
1,91,9.00000000*22.00000000,4.00000000e+01*4.00000000e+01
1,92,9.00000000*23.00000000,8.00000000e+01*8.00000000e+01
1,93,9.00000000*24.00000000,8.00000000e+01*8.00000000e+01
1,94,9.00000000*25.00000000,8.00000000e+01*8.00000000e+01
1,95,10.00000000*5.00000000,8.00000000e+01*8.00000000e+01
1,96,10.00000000*7.00000000,8.00000000e+01*8.00000000e+01
1,97,10.00000000*9.00000000,8.00000000e+01*8.00000000e+01
1,98,10.00000000*11.00000000,4.00000000e+01*4.00000000e+01
1,99,10.00000000*13.00000000,4.00000000e+01*4.00000000e+01
1,100,10.00000000*15.00000000,4.00000000e+01*4.00000000e+01
1,101,10.00000000*17.00000000,1.00000000e+01*1.00000000e+01
1,102,10.00000000*19.00000000,1.00000000e+01*1.00000000e+01
1,103,10.00000000*21.00000000,4.00000000e+01*4.00000000e+01
1,104,10.00000000*23.00000000,4.00000000e+01*4.00000000e+01
1,105,11.00000000*3.00000000,8.00000000e+01*8.00000000e+01
1,106,11.00000000*4.00000000,8.00000000e+01*8.00000000e+01
1,107,11.00000000*5.00000000,8.00000000e+01*8.00000000e+01
