grid,nr,cvs,kappas
0,0,0.00000000*0.00000000,8.00000000e+01*8.00000000e+01
0,1,0.00000000*1.00000000,8.00000000e+01*8.00000000e+01
0,2,0.00000000*2.00000000,8.00000000e+01*8.00000000e+01
0,3,0.00000000*3.00000000,8.00000000e+01*8.00000000e+01
0,4,0.00000000*4.00000000,8.00000000e+01*8.00000000e+01
0,5,0.00000000*5.00000000,8.00000000e+01*8.00000000e+01
0,6,0.00000000*6.00000000,8.00000000e+01*8.00000000e+01
0,7,0.00000000*7.00000000,8.00000000e+01*8.00000000e+01
0,8,0.00000000*8.00000000,8.00000000e+01*8.00000000e+01
0,9,0.00000000*9.00000000,8.00000000e+01*8.00000000e+01
0,10,0.00000000*10.00000000,8.00000000e+01*8.00000000e+01
0,11,0.00000000*11.00000000,8.00000000e+01*8.00000000e+01
0,12,0.00000000*12.00000000,8.00000000e+01*8.00000000e+01
0,13,0.00000000*13.00000000,8.00000000e+01*8.00000000e+01
0,14,0.00000000*14.00000000,8.00000000e+01*8.00000000e+01
0,15,0.00000000*15.00000000,8.00000000e+01*8.00000000e+01
0,16,0.00000000*16.00000000,8.00000000e+01*8.00000000e+01
0,17,0.00000000*17.00000000,8.00000000e+01*8.00000000e+01
0,18,0.00000000*18.00000000,8.00000000e+01*8.00000000e+01
0,19,1.00000000*0.00000000,8.00000000e+01*8.00000000e+01
0,20,1.00000000*1.00000000,8.00000000e+01*8.00000000e+01
0,21,1.00000000*2.00000000,8.00000000e+01*8.00000000e+01
0,22,1.00000000*3.00000000,8.00000000e+01*8.00000000e+01
0,23,1.00000000*4.00000000,8.00000000e+01*8.00000000e+01
0,24,1.00000000*5.00000000,8.00000000e+01*8.00000000e+01
0,25,1.00000000*6.00000000,8.00000000e+01*8.00000000e+01
0,26,1.00000000*7.00000000,8.00000000e+01*8.00000000e+01
0,27,1.00000000*8.00000000,8.00000000e+01*8.00000000e+01
0,28,1.00000000*9.00000000,8.00000000e+01*8.00000000e+01
0,29,1.00000000*10.00000000,8.00000000e+01*8.00000000e+01
0,30,1.00000000*11.00000000,8.00000000e+01*8.00000000e+01
0,31,1.00000000*12.00000000,8.00000000e+01*8.00000000e+01
0,32,1.00000000*13.00000000,8.00000000e+01*8.00000000e+01
0,33,1.00000000*14.00000000,8.00000000e+01*8.00000000e+01
0,34,1.00000000*15.00000000,8.00000000e+01*8.00000000e+01
0,35,1.00000000*16.00000000,8.00000000e+01*8.00000000e+01
0,36,1.00000000*17.00000000,8.00000000e+01*8.00000000e+01
0,37,1.00000000*18.00000000,8.00000000e+01*8.00000000e+01
0,38,2.00000000*0.00000000,8.00000000e+01*8.00000000e+01
0,39,2.00000000*1.00000000,8.00000000e+01*8.00000000e+01
0,40,2.00000000*2.00000000,8.00000000e+01*8.00000000e+01
0,41,2.00000000*3.00000000,8.00000000e+01*8.00000000e+01
0,42,2.00000000*4.00000000,8.00000000e+01*8.00000000e+01
0,43,2.00000000*5.00000000,8.00000000e+01*8.00000000e+01
0,44,2.00000000*6.00000000,8.00000000e+01*8.00000000e+01
0,45,2.00000000*7.00000000,8.00000000e+01*8.00000000e+01
0,46,2.00000000*8.00000000,8.00000000e+01*8.00000000e+01
0,47,2.00000000*9.00000000,8.00000000e+01*8.00000000e+01
0,48,2.00000000*10.00000000,8.00000000e+01*8.00000000e+01
0,49,2.00000000*11.00000000,8.00000000e+01*8.00000000e+01
0,50,2.00000000*12.00000000,8.00000000e+01*8.00000000e+01
0,51,2.00000000*13.00000000,8.00000000e+01*8.00000000e+01
0,52,2.00000000*14.00000000,8.00000000e+01*8.00000000e+01
0,53,2.00000000*15.00000000,8.00000000e+01*8.00000000e+01
0,54,2.00000000*16.00000000,8.00000000e+01*8.00000000e+01
0,55,2.00000000*17.00000000,8.00000000e+01*8.00000000e+01
0,56,2.00000000*18.00000000,8.00000000e+01*8.00000000e+01
0,57,3.00000000*0.00000000,8.00000000e+01*8.00000000e+01
0,58,3.00000000*1.00000000,8.00000000e+01*8.00000000e+01
0,59,3.00000000*2.00000000,8.00000000e+01*8.00000000e+01
0,60,3.00000000*3.00000000,8.00000000e+01*8.00000000e+01
0,61,3.00000000*4.00000000,8.00000000e+01*8.00000000e+01
0,62,3.00000000*5.00000000,8.00000000e+01*8.00000000e+01
0,63,3.00000000*6.00000000,8.00000000e+01*8.00000000e+01
0,64,3.00000000*7.00000000,8.00000000e+01*8.00000000e+01
0,65,3.00000000*8.00000000,8.00000000e+01*8.00000000e+01
0,66,3.00000000*9.00000000,8.00000000e+01*8.00000000e+01
0,67,3.00000000*10.00000000,8.00000000e+01*8.00000000e+01
0,68,3.00000000*11.00000000,8.00000000e+01*8.00000000e+01
0,69,3.00000000*12.00000000,8.00000000e+01*8.00000000e+01
0,70,3.00000000*13.00000000,8.00000000e+01*8.00000000e+01
0,71,3.00000000*14.00000000,8.00000000e+01*8.00000000e+01
0,72,3.00000000*15.00000000,8.00000000e+01*8.00000000e+01
0,73,3.00000000*16.00000000,8.00000000e+01*8.00000000e+01
0,74,3.00000000*17.00000000,8.00000000e+01*8.00000000e+01
0,75,3.00000000*18.00000000,8.00000000e+01*8.00000000e+01
0,76,4.00000000*0.00000000,8.00000000e+01*8.00000000e+01
0,77,4.00000000*1.00000000,8.00000000e+01*8.00000000e+01
0,78,4.00000000*2.00000000,8.00000000e+01*8.00000000e+01
0,79,4.00000000*3.00000000,8.00000000e+01*8.00000000e+01
0,80,4.00000000*4.00000000,8.00000000e+01*8.00000000e+01
0,81,4.00000000*5.00000000,8.00000000e+01*8.00000000e+01
0,82,4.00000000*6.00000000,8.00000000e+01*8.00000000e+01
0,83,4.00000000*7.00000000,8.00000000e+01*8.00000000e+01
0,84,4.00000000*8.00000000,8.00000000e+01*8.00000000e+01
0,85,4.00000000*9.00000000,8.00000000e+01*8.00000000e+01
0,86,4.00000000*10.00000000,8.00000000e+01*8.00000000e+01
0,87,4.00000000*11.00000000,8.00000000e+01*8.00000000e+01
0,88,4.00000000*12.00000000,8.00000000e+01*8.00000000e+01
0,89,4.00000000*13.00000000,8.00000000e+01*8.00000000e+01
0,90,4.00000000*14.00000000,8.00000000e+01*8.00000000e+01
0,91,4.00000000*15.00000000,8.00000000e+01*8.00000000e+01
0,92,4.00000000*16.00000000,8.00000000e+01*8.00000000e+01
0,93,4.00000000*17.00000000,8.00000000e+01*8.00000000e+01
0,94,4.00000000*18.00000000,8.00000000e+01*8.00000000e+01
0,95,5.00000000*0.00000000,8.00000000e+01*8.00000000e+01
0,96,5.00000000*1.00000000,8.00000000e+01*8.00000000e+01
0,97,5.00000000*2.00000000,8.00000000e+01*8.00000000e+01
0,98,5.00000000*3.00000000,8.00000000e+01*8.00000000e+01
0,99,5.00000000*4.00000000,8.00000000e+01*8.00000000e+01
0,100,5.00000000*5.00000000,8.00000000e+01*8.00000000e+01
0,101,5.00000000*6.00000000,8.00000000e+01*8.00000000e+01
0,102,5.00000000*7.00000000,8.00000000e+01*8.00000000e+01
0,103,5.00000000*8.00000000,8.00000000e+01*8.00000000e+01
0,104,5.00000000*9.00000000,8.00000000e+01*8.00000000e+01
0,105,5.00000000*10.00000000,8.00000000e+01*8.00000000e+01
0,106,5.00000000*11.00000000,8.00000000e+01*8.00000000e+01
